时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-6-5 18:13:0:180	WTSDCL(FE:D5:86:66:1D:7C)	-0.126	-0.953	0.142	-0.061	1.404	-8.240	-83.57	11.84	-43.99	7.875	24.942	2.442	-0.69629	0.60349	-0.31915	0.22141	7.0	10092.1.12	100
2025-6-5 18:13:0:220	WT901BLE67(C1:AA:08:9C:D1:14)	-0.313	0.810	0.249	8.972	-16.357	-9.460	68.04	20.44	-29.56	-40.250	-55.750	-111.142	0.77493	0.57571	0.02597	-0.25931	-3.2	10080.1.21	100
2025-6-5 18:13:0:262	WT901BLE67(E9:8A:1A:DD:D5:28)	0.582	0.821	0.245	-10.498	19.226	-9.705	88.08	-15.98	146.35	7.375	-29.125	59.050	-0.11444	-0.30304	-0.62802	-0.70749	-2.3	10080.1.21	100
2025-6-5 18:13:0:263	WT901BLE67(E9:8A:1A:DD:D5:28)	0.543	0.867	0.421	-19.958	47.180	16.663	85.45	-16.22	149.96	7.375	-29.125	59.050	-0.11444	-0.30304	-0.62802	-0.70749	-2.3	10080.1.21	100
2025-6-5 18:13:0:268	WTSDCL(FE:D5:86:66:1D:7C)	-0.123	-1.049	0.095	1.465	-11.719	-6.653	-83.33	11.09	-39.52	7.875	24.942	2.442	-0.72708	0.60443	-0.27423	0.17520	7.0	10092.1.12	100
2025-6-5 18:13:0:313	WT901BLE67(C1:AA:08:9C:D1:14)	-0.544	0.974	0.186	21.301	-13.245	-8.789	69.14	20.80	-31.50	-40.250	-55.750	-111.142	0.75238	0.57730	-0.02133	-0.31635	-3.2	10080.1.21	100
2025-6-5 18:13:0:381	WT901BLE67(E9:8A:1A:DD:D5:28)	0.151	1.125	0.122	-8.545	66.345	19.714	81.65	-18.06	156.56	11.125	-18.125	65.392	-0.11444	-0.30304	-0.62802	-0.70749	-2.3	10080.1.21	100
2025-6-5 18:13:0:392	WTSDCL(FE:D5:86:66:1D:7C)	-0.227	-1.005	0.124	2.380	4.211	-3.662	-82.96	10.61	-35.52	7.875	24.942	2.442	-0.72708	0.60443	-0.27423	0.17520	7.0	10092.1.12	100
2025-6-5 18:13:0:431	WT901BLE67(C1:AA:08:9C:D1:14)	-0.208	0.855	0.039	4.089	-22.949	-9.155	69.60	21.24	-33.55	-40.250	-55.750	-111.142	0.75238	0.57730	-0.02133	-0.31635	-3.2	10080.1.21	100
2025-6-5 18:13:0:469	WT901BLE67(E9:8A:1A:DD:D5:28)	0.369	1.359	-0.160	-2.930	36.011	22.034	79.18	-18.26	163.13	11.125	-18.125	65.392	-0.00729	-0.20572	-0.60150	-0.77182	-2.3	10080.1.21	100
2025-6-5 18:13:0:479	WTSDCL(FE:D5:86:66:1D:7C)	-0.174	-1.185	0.159	24.353	11.292	9.460	-81.36	10.71	-34.19	1.400	23.758	1.933	-0.72708	0.60443	-0.27423	0.17520	7.0	10092.1.12	100
2025-6-5 18:13:0:523	WT901BLE67(C1:AA:08:9C:D1:14)	-0.438	0.946	0.211	10.437	-28.137	-9.094	68.98	21.15	-36.27	-72.875	-59.250	-105.917	0.75238	0.57730	-0.02133	-0.31635	-3.2	10080.1.21	100
2025-6-5 18:13:0:572	WTSDCL(FE:D5:86:66:1D:7C)	-0.074	-0.907	0.376	21.667	20.203	18.250	-79.33	13.01	-33.54	1.400	23.758	1.933	-0.72708	0.60443	-0.27423	0.17520	7.0	10092.1.12	100
2025-6-5 18:13:0:592	WT901BLE67(E9:8A:1A:DD:D5:28)	0.373	1.264	0.030	1.709	-14.709	17.029	78.89	-18.68	164.22	11.125	-18.125	65.392	-0.00729	-0.20572	-0.60150	-0.77182	-2.3	10080.1.21	100
2025-6-5 18:13:0:650	WT901BLE67(C1:AA:08:9C:D1:14)	-0.759	0.848	0.247	12.024	-12.146	-1.343	69.77	20.78	-38.38	-72.875	-59.250	-105.917	0.75238	0.57730	-0.02133	-0.31635	-3.2	10080.1.21	100
2025-6-5 18:13:0:680	WT901BLE67(E9:8A:1A:DD:D5:28)	0.375	1.000	-0.083	-1.038	-68.420	1.709	80.78	-20.05	160.18	20.125	-36.250	53.817	-0.00729	-0.20572	-0.60150	-0.77182	-2.3	10080.1.21	100
2025-6-5 18:13:0:688	WTSDCL(FE:D5:86:66:1D:7C)	-0.150	-0.999	0.393	24.170	57.129	-10.681	-77.71	13.28	-36.81	1.400	23.758	1.933	-0.72708	0.60443	-0.27423	0.17520	7.0	10092.1.12	100
2025-6-5 18:13:0:697	WT901BLE67(C1:AA:08:9C:D1:14)	-0.356	0.831	0.107	11.902	-15.808	-19.897	70.13	21.58	-40.27	-72.875	-59.250	-105.917	0.71533	0.58069	-0.06512	-0.38309	-3.2	10080.1.21	100
2025-6-5 18:13:0:782	WTSDCL(FE:D5:86:66:1D:7C)	-0.267	-0.889	0.392	0.427	34.180	-27.039	-76.88	12.86	-41.02	1.400	23.758	1.933	-0.74738	0.54633	-0.30496	0.22324	7.0	10092.1.12	100
2025-6-5 18:13:0:801	WT901BLE67(E9:8A:1A:DD:D5:28)	0.240	0.733	0.171	5.737	-135.498	0.854	84.57	-22.37	149.17	20.125	-36.250	53.817	-0.00729	-0.20572	-0.60150	-0.77182	-2.3	10080.1.21	100
2025-6-5 18:13:0:817	WT901BLE67(C1:AA:08:9C:D1:14)	0.095	0.757	0.201	18.372	-48.218	4.089	70.52	21.84	-43.59	-72.875	-59.250	-105.917	0.71533	0.58069	-0.06512	-0.38309	-3.2	10080.1.21	100
2025-6-5 18:13:0:859	WT901BLE67(E9:8A:1A:DD:D5:28)	0.278	0.444	0.333	8.850	-90.393	-16.724	89.35	-21.32	137.25	20.125	-36.250	53.817	-0.17160	-0.39386	-0.59222	-0.68158	-2.3	10080.1.21	100
2025-6-5 18:13:0:870	WTSDCL(FE:D5:86:66:1D:7C)	-0.241	-0.740	0.258	-3.052	63.171	35.217	-77.78	13.68	-46.93	1.400	23.758	1.933	-0.74738	0.54633	-0.30496	0.22324	7.0	10092.1.12	100
2025-6-5 18:13:0:911	WT901BLE67(C1:AA:08:9C:D1:14)	-0.771	1.038	0.135	22.583	-23.560	1.282	71.66	20.36	-47.66	-48.000	-81.250	-96.925	0.71533	0.58069	-0.06512	-0.38309	-3.2	10080.1.21	100
2025-6-5 18:13:0:982	WT901BLE67(E9:8A:1A:DD:D5:28)	0.730	0.615	-0.002	-24.170	-105.652	-18.127	91.71	-18.24	127.16	20.125	-36.250	53.817	-0.17160	-0.39386	-0.59222	-0.68158	-2.3	10080.1.21	100
2025-6-5 18:13:0:990	WTSDCL(FE:D5:86:66:1D:7C)	-0.215	-0.841	0.391	-4.944	47.180	10.010	-79.14	16.92	-55.03	3.267	29.525	-15.867	-0.74738	0.54633	-0.30496	0.22324	7.0	10092.1.12	100
2025-6-5 18:13:1:31	WT901BLE67(C1:AA:08:9C:D1:14)	-0.588	0.789	-0.075	21.179	-39.612	-11.230	72.76	20.37	-50.90	-48.000	-81.250	-96.925	0.71533	0.58069	-0.06512	-0.38309	-3.2	10080.1.21	100
2025-6-5 18:13:1:68	WT901BLE67(E9:8A:1A:DD:D5:28)	0.564	0.839	0.055	-10.681	-135.193	18.555	93.63	-18.53	114.90	-2.375	-23.000	37.250	-0.17160	-0.39386	-0.59222	-0.68158	-2.3	10080.1.21	100
2025-6-5 18:13:1:79	WTSDCL(FE:D5:86:66:1D:7C)	-0.275	-1.210	0.429	-19.104	20.569	-5.920	-81.93	15.94	-64.32	3.267	29.525	-15.867	-0.66013	0.47049	-0.46649	0.35376	7.0	10092.1.12	100
2025-6-5 18:13:1:122	WT901BLE67(C1:AA:08:9C:D1:14)	-0.072	1.068	0.012	37.048	-48.340	-25.391	73.97	21.61	-55.44	-48.000	-81.250	-96.925	0.63492	0.58710	-0.16742	-0.47333	-3.2	10080.1.21	100
2025-6-5 18:13:1:170	WTSDCL(FE:D5:86:66:1D:7C)	-0.254	-0.926	0.349	-4.944	65.918	17.639	-83.32	16.93	-74.43	3.267	29.525	-15.867	-0.66013	0.47049	-0.46649	0.35376	7.0	10092.1.12	100
2025-6-5 18:13:1:191	WT901BLE67(E9:8A:1A:DD:D5:28)	0.584	1.140	0.106	-25.574	-136.597	30.090	97.29	-19.98	99.28	-2.375	-23.000	37.250	-0.17160	-0.39386	-0.59222	-0.68158	-2.3	10080.1.21	100
2025-6-5 18:13:1:242	WT901BLE67(C1:AA:08:9C:D1:14)	-0.578	0.877	0.035	23.804	-98.389	-10.742	74.20	21.34	-63.19	-48.000	-81.250	-96.925	0.63492	0.58710	-0.16742	-0.47333	-3.2	10080.1.21	100
2025-6-5 18:13:1:277	WT901BLE67(E9:8A:1A:DD:D5:28)	0.712	1.368	0.146	4.761	-102.600	10.132	101.32	-19.79	85.53	-2.375	-23.000	37.250	-0.38077	-0.65329	-0.41919	-0.50238	-2.3	10080.1.21	100
2025-6-5 18:13:1:290	WTSDCL(FE:D5:86:66:1D:7C)	-0.233	-0.764	0.280	8.606	61.829	33.569	-85.36	19.14	-85.48	3.267	29.525	-15.867	-0.66013	0.47049	-0.46649	0.35376	7.0	10092.1.12	100
2025-6-5 18:13:1:332	WT901BLE67(C1:AA:08:9C:D1:14)	-0.604	0.950	0.039	41.016	-91.187	-35.400	74.92	21.24	-72.93	-67.500	-68.375	-53.933	0.63492	0.58710	-0.16742	-0.47333	-3.2	10080.1.21	100
2025-6-5 18:13:1:380	WTSDCL(FE:D5:86:66:1D:7C)	-0.276	-1.195	0.241	-10.071	40.710	-0.671	-86.24	21.77	-94.28	4.058	27.317	-31.408	-0.66013	0.47049	-0.46649	0.35376	7.0	10092.1.12	100
2025-6-5 18:13:1:402	WT901BLE67(E9:8A:1A:DD:D5:28)	0.307	1.219	0.190	5.615	-43.152	15.625	105.01	-19.98	76.89	-2.375	-23.000	37.250	-0.38077	-0.65329	-0.41919	-0.50238	-2.3	10080.1.21	100
2025-6-5 18:13:1:450	WT901BLE67(C1:AA:08:9C:D1:14)	0.228	0.544	-0.156	23.071	-86.548	-31.494	74.80	22.86	-82.85	-67.500	-68.375	-53.933	0.63492	0.58710	-0.16742	-0.47333	-3.2	10080.1.21	100
2025-6-5 18:13:1:461	WT901BLE67(E9:8A:1A:DD:D5:28)	0.474	0.739	0.387	9.216	13.916	-14.526	106.19	-20.54	75.20	-8.500	-20.500	1.258	-0.38077	-0.65329	-0.41919	-0.50238	-2.3	10080.1.21	100
2025-6-5 18:13:1:472	WTSDCL(FE:D5:86:66:1D:7C)	-0.213	-1.079	0.250	-3.418	39.185	23.315	-88.08	20.08	-102.93	4.058	27.317	-31.408	-0.66013	0.47049	-0.46649	0.35376	7.0	10092.1.12	100
2025-6-5 18:13:1:540	WT901BLE67(C1:AA:08:9C:D1:14)	-0.245	0.986	0.058	13.977	-48.645	-35.706	72.64	24.10	-91.90	-67.500	-68.375	-53.933	0.44479	0.50885	-0.31763	-0.66501	-3.2	10080.1.21	100
2025-6-5 18:13:1:590	WTSDCL(FE:D5:86:66:1D:7C)	-0.411	-0.843	0.318	13.062	45.715	21.423	-88.52	21.07	-111.35	4.058	27.317	-31.408	-0.49902	0.27081	-0.64371	0.51300	7.0	10092.1.12	100
2025-6-5 18:13:1:613	WT901BLE67(E9:8A:1A:DD:D5:28)	0.335	0.573	0.219	7.263	47.607	-25.146	105.42	-19.82	79.87	-8.500	-20.500	1.258	-0.38077	-0.65329	-0.41919	-0.50238	-2.3	10080.1.21	100
2025-6-5 18:13:1:628	WT901BLE67(C1:AA:08:9C:D1:14)	-0.189	1.231	-0.106	42.603	-15.320	-14.709	73.32	24.63	-97.34	-67.500	-68.375	-53.933	0.44479	0.50885	-0.31763	-0.66501	-3.2	10080.1.21	100
2025-6-5 18:13:1:667	WT901BLE67(E9:8A:1A:DD:D5:28)	0.411	0.822	0.185	-28.931	29.663	5.493	102.42	-19.75	84.56	-8.500	-20.500	1.258	-0.37387	-0.62692	-0.42737	-0.53329	-2.3	10080.1.21	100
2025-6-5 18:13:1:678	WTSDCL(FE:D5:86:66:1D:7C)	-0.142	-1.433	0.080	7.935	41.992	-28.442	-89.04	18.93	-119.22	4.058	27.317	-31.408	-0.49902	0.27081	-0.64371	0.51300	7.0	10092.1.12	100
2025-6-5 18:13:1:719	WT901BLE67(C1:AA:08:9C:D1:14)	-0.246	1.250	-0.216	-7.507	-1.831	-3.174	74.21	24.63	-99.97	-49.375	-87.500	-39.767	0.44479	0.50885	-0.31763	-0.66501	-3.2	10080.1.21	100
2025-6-5 18:13:1:773	WTSDCL(FE:D5:86:66:1D:7C)	-0.217	-0.949	0.346	14.282	-8.545	-3.235	-87.66	17.43	-121.92	4.433	30.708	-44.150	-0.49902	0.27081	-0.64371	0.51300	7.0	10092.1.12	100
2025-6-5 18:13:1:789	WT901BLE67(E9:8A:1A:DD:D5:28)	0.436	0.720	0.125	-34.607	10.742	10.742	98.06	-21.00	86.39	-8.500	-20.500	1.258	-0.37387	-0.62692	-0.42737	-0.53329	-2.3	10080.1.21	100
2025-6-5 18:13:1:839	WT901BLE67(C1:AA:08:9C:D1:14)	-0.657	1.235	-0.147	12.329	53.650	13.672	75.49	24.58	-96.75	-49.375	-87.500	-39.767	0.44479	0.50885	-0.31763	-0.66501	-3.2	10080.1.21	100
2025-6-5 18:13:1:879	WT901BLE67(E9:8A:1A:DD:D5:28)	0.248	0.851	0.073	-24.231	13.916	7.507	94.57	-22.53	87.34	1.875	-22.250	-1.583	-0.37387	-0.62692	-0.42737	-0.53329	-2.3	10080.1.21	100
2025-6-5 18:13:1:891	WTSDCL(FE:D5:86:66:1D:7C)	-0.256	-1.177	0.254	15.320	11.353	-4.456	-85.65	16.54	-125.13	4.433	30.708	-44.150	-0.49902	0.27081	-0.64371	0.51300	7.0	10092.1.12	100
2025-6-5 18:13:1:932	WT901BLE67(C1:AA:08:9C:D1:14)	-0.340	0.742	0.044	10.254	46.387	11.230	79.37	24.51	-90.50	-49.375	-87.500	-39.767	0.44543	0.56055	-0.33130	-0.61441	-3.2	10080.1.21	100
2025-6-5 18:13:1:979	WTSDCL(FE:D5:86:66:1D:7C)	-0.220	-0.973	0.179	18.372	6.897	3.174	-84.06	16.05	-128.90	4.433	30.708	-44.150	-0.39694	0.18393	-0.64093	0.63062	7.0	10092.1.12	100
2025-6-5 18:13:1:999	WT901BLE67(E9:8A:1A:DD:D5:28)	0.242	0.894	0.048	-7.324	23.254	-0.244	92.13	-23.23	89.34	1.875	-22.250	-1.583	-0.37387	-0.62692	-0.42737	-0.53329	-2.3	10080.1.21	100
2025-6-5 18:13:2:50	WT901BLE67(C1:AA:08:9C:D1:14)	-0.413	0.944	0.188	19.409	18.616	-3.418	82.32	25.14	-86.75	-49.375	-87.500	-39.767	0.44543	0.56055	-0.33130	-0.61441	-3.2	10080.1.21	100
2025-6-5 18:13:2:70	WTSDCL(FE:D5:86:66:1D:7C)	-0.113	-0.875	0.277	10.681	-2.136	15.503	-82.33	16.80	-132.03	4.433	30.708	-44.150	-0.39694	0.18393	-0.64093	0.63062	7.0	10092.1.12	100
2025-6-5 18:13:2:90	WT901BLE67(E9:8A:1A:DD:D5:28)	0.473	1.033	0.066	-4.883	14.526	-0.549	90.93	-23.17	91.68	1.875	-22.250	-1.583	-0.37781	-0.58243	-0.39966	-0.59848	-2.3	10080.1.21	100
2025-6-5 18:13:2:110	WT901BLE67(C1:AA:08:9C:D1:14)	-0.368	0.938	0.224	14.465	-22.034	-6.226	84.27	25.29	-87.08	-54.625	-89.625	-46.800	0.44543	0.56055	-0.33130	-0.61441	-3.2	10080.1.21	100
2025-6-5 18:13:2:193	WTSDCL(FE:D5:86:66:1D:7C)	-0.089	-1.012	0.199	5.432	12.390	-8.118	-81.35	16.91	-134.76	5.908	33.683	-46.833	-0.39694	0.18393	-0.64093	0.63062	7.0	10092.1.12	100
2025-6-5 18:13:2:209	WT901BLE67(E9:8A:1A:DD:D5:28)	0.463	1.050	0.072	-13.123	-0.793	11.963	89.45	-23.80	92.55	1.875	-22.250	-1.583	-0.37781	-0.58243	-0.39966	-0.59848	-2.3	10080.1.21	100
2025-6-5 18:13:2:229	WT901BLE67(C1:AA:08:9C:D1:14)	-0.281	0.876	0.095	3.296	-26.123	-11.963	84.57	25.85	-90.03	-54.625	-89.625	-46.800	0.44543	0.56055	-0.33130	-0.61441	-3.2	10080.1.21	100
2025-6-5 18:13:2:268	WT901BLE67(E9:8A:1A:DD:D5:28)	0.418	1.055	0.070	-15.381	-12.939	14.526	88.42	-25.32	91.89	-0.625	-27.750	1.625	-0.37781	-0.58243	-0.39966	-0.59848	-2.3	10080.1.21	100
2025-6-5 18:13:2:280	WTSDCL(FE:D5:86:66:1D:7C)	-0.176	-0.912	0.115	-4.395	17.029	-18.311	-81.52	15.83	-139.15	5.908	33.683	-46.833	-0.39694	0.18393	-0.64093	0.63062	7.0	10092.1.12	100
2025-6-5 18:13:2:350	WT901BLE67(C1:AA:08:9C:D1:14)	-0.386	1.134	0.032	5.554	-4.150	1.404	83.75	26.31	-91.81	-54.625	-89.625	-46.800	0.40317	0.56796	-0.35464	-0.62369	-3.2	10080.1.21	100
2025-6-5 18:13:2:374	WTSDCL(FE:D5:86:66:1D:7C)	-0.250	-1.068	0.110	-8.606	8.667	-9.094	-82.68	13.70	-143.17	5.908	33.683	-46.833	-0.30472	0.12054	-0.65237	0.68332	7.0	10092.1.12	100
2025-6-5 18:13:2:390	WT901BLE67(E9:8A:1A:DD:D5:28)	0.056	0.882	0.175	-14.465	-15.503	-4.272	87.37	-26.09	90.43	-0.625	-27.750	1.625	-0.37781	-0.58243	-0.39966	-0.59848	-2.3	10080.1.21	100
2025-6-5 18:13:2:441	WT901BLE67(C1:AA:08:9C:D1:14)	-0.189	1.008	-0.006	-1.526	-1.709	-5.615	83.86	26.72	-91.81	-54.625	-89.625	-46.800	0.40317	0.56796	-0.35464	-0.62369	-3.2	10080.1.21	100
2025-6-5 18:13:2:482	WT901BLE67(E9:8A:1A:DD:D5:28)	0.260	0.644	0.229	5.493	-1.587	-48.279	87.32	-23.61	89.22	-0.625	-27.750	1.625	-0.40891	-0.58286	-0.37082	-0.59619	-2.3	10080.1.21	100
2025-6-5 18:13:2:521	WTSDCL(FE:D5:86:66:1D:7C)	-0.211	-1.046	0.159	-4.150	9.949	6.226	-83.69	13.41	-146.09	5.908	33.683	-46.833	-0.30472	0.12054	-0.65237	0.68332	7.0	10092.1.12	100
2025-6-5 18:13:2:529	WT901BLE67(C1:AA:08:9C:D1:14)	-0.348	0.845	0.099	-0.427	1.709	14.282	84.47	25.92	-91.55	-45.750	-87.875	-48.550	0.40317	0.56796	-0.35464	-0.62369	-3.2	10080.1.21	100
2025-6-5 18:13:2:583	WTSDCL(FE:D5:86:66:1D:7C)	-0.189	-0.850	0.088	-9.644	-14.404	31.677	-84.33	15.12	-147.72	10.342	37.767	-45.883	-0.30472	0.12054	-0.65237	0.68332	7.0	10092.1.12	100
2025-6-5 18:13:2:600	WT901BLE67(E9:8A:1A:DD:D5:28)	0.477	0.761	0.230	-4.089	14.160	-13.611	86.95	-22.51	89.88	-0.625	-27.750	1.625	-0.40891	-0.58286	-0.37082	-0.59619	-2.3	10080.1.21	100
2025-6-5 18:13:2:647	WT901BLE67(C1:AA:08:9C:D1:14)	-0.407	0.772	0.146	-5.371	3.479	27.649	84.47	25.01	-91.07	-45.750	-87.875	-48.550	0.40317	0.56796	-0.35464	-0.62369	-3.2	10080.1.21	100
2025-6-5 18:13:2:687	WT901BLE67(E9:8A:1A:DD:D5:28)	0.681	1.006	0.198	-7.751	17.700	16.785	85.26	-22.77	91.76	-1.750	-24.125	3.275	-0.40891	-0.58286	-0.37082	-0.59619	-2.3	10080.1.21	100
2025-6-5 18:13:2:708	WTSDCL(FE:D5:86:66:1D:7C)	-0.173	-0.980	0.076	-10.376	-22.400	14.038	-84.92	16.57	-147.74	10.342	37.767	-45.883	-0.29367	0.08273	-0.67419	0.67252	7.0	10092.1.12	100
2025-6-5 18:13:2:712	WT901BLE67(C1:AA:08:9C:D1:14)	-0.409	0.881	0.027	-10.254	17.700	0.061	84.27	24.52	-89.48	-45.750	-87.875	-48.550	0.42834	0.57410	-0.34979	-0.60370	-3.2	10080.1.21	100
2025-6-5 18:13:2:811	WT901BLE67(E9:8A:1A:DD:D5:28)	0.237	0.920	0.191	-6.104	28.809	10.742	83.63	-24.27	94.50	-1.750	-24.125	3.275	-0.40891	-0.58286	-0.37082	-0.59619	-2.3	10080.1.21	100
2025-6-5 18:13:2:820	WTSDCL(FE:D5:86:66:1D:7C)	-0.283	-0.996	0.021	-4.028	-7.019	-11.780	-85.48	16.30	-148.39	10.342	37.767	-45.883	-0.29367	0.08273	-0.67419	0.67252	7.0	10092.1.12	100
2025-6-5 18:13:2:863	WT901BLE67(C1:AA:08:9C:D1:14)	-0.504	0.917	0.020	-2.014	20.020	-4.333	84.42	24.96	-87.20	-45.750	-87.875	-48.550	0.42834	0.57410	-0.34979	-0.60370	-3.2	10080.1.21	100
2025-6-5 18:13:2:869	WT901BLE67(E9:8A:1A:DD:D5:28)	0.230	0.679	-0.111	15.564	58.167	-25.574	82.05	-22.30	99.14	-1.750	-24.125	3.275	-0.37604	-0.51392	-0.40924	-0.65335	-2.3	10080.1.21	100
2025-6-5 18:13:2:908	WTSDCL(FE:D5:86:66:1D:7C)	-0.298	-0.937	0.070	-2.502	-9.338	-3.906	-85.68	14.45	-149.59	8.608	39.942	-40.817	-0.29367	0.08273	-0.67419	0.67252	7.0	10092.1.12	100
2025-6-5 18:13:2:917	WT901BLE67(C1:AA:08:9C:D1:14)	-0.112	0.871	0.199	9.277	11.475	4.517	85.76	25.18	-85.40	-50.000	-86.875	-51.550	0.42834	0.57410	-0.34979	-0.60370	-3.2	10080.1.21	100
2025-6-5 18:13:3:0	WTSDCL(FE:D5:86:66:1D:7C)	-0.244	-1.005	0.023	-14.221	-30.334	23.560	-86.04	15.35	-148.93	8.608	39.942	-40.817	-0.29367	0.08273	-0.67419	0.67252	7.0	10092.1.12	100
2025-6-5 18:13:3:26	WT901BLE67(E9:8A:1A:DD:D5:28)	0.599	0.988	0.034	15.503	24.658	7.263	82.07	-21.39	103.54	-1.750	-24.125	3.275	-0.37604	-0.51392	-0.40924	-0.65335	-2.3	10080.1.21	100
2025-6-5 18:13:3:37	WT901BLE67(C1:AA:08:9C:D1:14)	-0.113	0.845	0.142	-14.282	3.052	17.761	85.27	23.87	-85.00	-50.000	-86.875	-51.550	0.42834	0.57410	-0.34979	-0.60370	-3.2	10080.1.21	100
2025-6-5 18:13:3:82	WT901BLE67(E9:8A:1A:DD:D5:28)	0.512	0.939	0.233	1.343	29.785	10.498	82.19	-22.20	106.14	9.375	-25.625	13.158	-0.37604	-0.51392	-0.40924	-0.65335	-2.3	10080.1.21	100
2025-6-5 18:13:3:124	WTSDCL(FE:D5:86:66:1D:7C)	-0.292	-0.866	0.072	3.906	-26.245	28.870	-85.84	17.27	-147.20	8.608	39.942	-40.817	-0.29367	0.08273	-0.67419	0.67252	7.0	10092.1.12	100
2025-6-5 18:13:3:133	WT901BLE67(C1:AA:08:9C:D1:14)	-0.579	0.930	-0.012	3.235	16.479	5.737	84.93	23.15	-83.79	-50.000	-86.875	-51.550	0.45374	0.59363	-0.33829	-0.57199	-3.2	10080.1.21	100
2025-6-5 18:13:3:200	WT901BLE67(E9:8A:1A:DD:D5:28)	0.081	0.927	0.129	-7.141	51.941	3.906	80.47	-22.13	110.54	9.375	-25.625	13.158	-0.37604	-0.51392	-0.40924	-0.65335	-2.3	10080.1.21	100
2025-6-5 18:13:3:210	WTSDCL(FE:D5:86:66:1D:7C)	-0.262	-0.937	-0.186	-11.169	-7.263	3.601	-85.70	18.40	-146.44	8.608	39.942	-40.817	-0.31015	0.08420	-0.68094	0.65799	7.0	10092.1.12	100
2025-6-5 18:13:3:249	WT901BLE67(C1:AA:08:9C:D1:14)	-0.538	0.887	0.189	28.076	11.108	-2.930	87.19	23.48	-82.42	-50.000	-86.875	-51.550	0.45374	0.59363	-0.33829	-0.57199	-3.2	10080.1.21	100
2025-6-5 18:13:3:290	WT901BLE67(E9:8A:1A:DD:D5:28)	0.469	1.131	-0.086	-6.042	50.842	15.076	77.15	-21.45	116.67	9.375	-25.625	13.158	-0.29654	-0.43488	-0.44397	-0.72507	-2.3	10080.1.21	100
2025-6-5 18:13:3:299	WTSDCL(FE:D5:86:66:1D:7C)	-0.241	-0.919	-0.128	-25.208	-50.110	-16.663	-87.17	17.52	-145.71	5.100	44.150	-30.717	-0.31015	0.08420	-0.68094	0.65799	7.0	10092.1.12	100
2025-6-5 18:13:3:339	WT901BLE67(C1:AA:08:9C:D1:14)	-0.264	0.905	0.167	-0.305	24.475	-4.150	89.63	23.85	-80.56	-55.375	-84.125	-49.142	0.45374	0.59363	-0.33829	-0.57199	-3.2	10080.1.21	100
2025-6-5 18:13:3:411	WT901BLE67(E9:8A:1A:DD:D5:28)	0.487	1.066	0.018	1.770	40.710	15.686	75.09	-21.99	121.82	9.375	-25.625	13.158	-0.29654	-0.43488	-0.44397	-0.72507	-2.3	10080.1.21	100
2025-6-5 18:13:3:419	WTSDCL(FE:D5:86:66:1D:7C)	-0.296	-0.929	-0.127	-28.931	-65.796	-6.042	-88.68	16.80	-140.32	5.100	44.150	-30.717	-0.31015	0.08420	-0.68094	0.65799	7.0	10092.1.12	100
2025-6-5 18:13:3:459	WT901BLE67(C1:AA:08:9C:D1:14)	-0.243	0.942	0.211	-27.527	46.204	-1.282	89.82	23.97	-76.50	-55.375	-84.125	-49.142	0.45374	0.59363	-0.33829	-0.57199	-3.2	10080.1.21	100
2025-6-5 18:13:3:500	WT901BLE67(E9:8A:1A:DD:D5:28)	0.290	1.039	0.002	12.390	38.086	19.592	73.62	-22.48	126.30	19.375	-27.250	25.050	-0.29654	-0.43488	-0.44397	-0.72507	-2.3	10080.1.21	100
2025-6-5 18:13:3:513	WTSDCL(FE:D5:86:66:1D:7C)	-0.354	-1.071	-0.069	-19.287	-57.983	-5.737	-89.73	15.64	-135.65	5.100	44.150	-30.717	-0.36649	0.18976	-0.68222	0.60342	7.0	10092.1.12	100
2025-6-5 18:13:3:523	WT901BLE67(C1:AA:08:9C:D1:14)	-0.378	0.834	0.373	-19.531	34.851	1.526	88.69	24.36	-71.41	-55.375	-84.125	-49.142	0.49725	0.64337	-0.27557	-0.51260	-3.2	10080.1.21	100
2025-6-5 18:13:3:599	WTSDCL(FE:D5:86:66:1D:7C)	-0.327	-0.883	-0.167	-11.414	-38.696	3.540	-90.24	15.81	-132.81	5.100	44.150	-30.717	-0.36649	0.18976	-0.68222	0.60342	7.0	10092.1.12	100
2025-6-5 18:13:3:623	WT901BLE67(E9:8A:1A:DD:D5:28)	0.463	0.930	0.115	18.921	33.020	11.536	73.78	-21.70	130.72	19.375	-27.250	25.050	-0.29654	-0.43488	-0.44397	-0.72507	-2.3	10080.1.21	100
2025-6-5 18:13:3:643	WT901BLE67(C1:AA:08:9C:D1:14)	-0.398	1.014	0.191	-6.042	34.607	6.531	89.41	23.87	-67.91	-55.375	-84.125	-49.142	0.49725	0.64337	-0.27557	-0.51260	-3.2	10080.1.21	100
2025-6-5 18:13:3:680	WT901BLE67(E9:8A:1A:DD:D5:28)	0.399	0.816	-0.016	13.733	36.011	18.066	73.76	-21.93	134.82	19.375	-27.250	25.050	-0.18237	-0.35577	-0.48914	-0.77512	-2.3	10080.1.21	100
