时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-6-5 18:15:48:434	WT901BLE67(C1:AA:08:9C:D1:14)	-0.479	0.844	-0.063	-0.122	-0.244	-0.427	94.88	31.12	-7.38	11.125	-46.875	-72.242	0.64142	0.72086	0.12692	-0.22961	-3.3	10080.1.21	100
2025-6-5 18:15:48:470	WT901BLE67(E9:8A:1A:DD:D5:28)	0.517	0.851	-0.020	0.122	0.183	0.427	92.02	-30.32	-139.87	-60.875	6.750	49.242	0.40656	0.06644	-0.71262	-0.56778	-2.4	10080.1.21	100
2025-6-5 18:15:48:479	WTSDCL(FE:D5:86:66:1D:7C)	-0.224	-0.984	0.094	0.977	3.235	-2.686	-84.96	13.84	97.28	89.442	24.308	-16.358	-0.42331	0.50967	0.44427	-0.60294	7.1	10092.1.12	100
2025-6-5 18:15:48:489	WT901BLE67(C1:AA:08:9C:D1:14)	-0.480	0.843	-0.056	0.427	-0.244	0.183	94.85	31.15	-7.40	11.125	-46.875	-72.242	0.64197	0.72034	0.12704	-0.22964	-3.3	10080.1.21	100
2025-6-5 18:15:48:571	WTSDCL(FE:D5:86:66:1D:7C)	-0.234	-0.968	0.091	0.916	0.305	2.380	-84.90	13.82	97.17	89.442	24.308	-16.358	-0.42331	0.50967	0.44427	-0.60294	7.1	10092.1.12	100
2025-6-5 18:15:48:589	WT901BLE67(E9:8A:1A:DD:D5:28)	0.484	0.848	-0.022	-0.244	0.122	0.305	92.03	-30.32	-139.86	-60.875	6.750	49.242	0.40656	0.06644	-0.71262	-0.56778	-2.4	10080.1.21	100
2025-6-5 18:15:48:612	WT901BLE67(C1:AA:08:9C:D1:14)	-0.492	0.863	-0.062	-0.549	0.000	-0.549	94.82	31.15	-7.38	11.125	-46.875	-72.242	0.64197	0.72034	0.12704	-0.22964	-3.3	10080.1.21	100
2025-6-5 18:15:48:652	WT901BLE67(E9:8A:1A:DD:D5:28)	0.489	0.842	-0.022	0.488	-0.305	0.610	92.03	-30.32	-139.86	-60.875	6.750	49.242	0.40656	0.06677	-0.71259	-0.56778	-2.4	10080.1.21	100
2025-6-5 18:15:48:658	WTSDCL(FE:D5:86:66:1D:7C)	-0.225	-0.967	0.098	0.854	-0.366	3.540	-84.79	14.10	97.33	88.967	26.292	-18.158	-0.42331	0.50967	0.44427	-0.60294	7.1	10092.1.12	100
2025-6-5 18:15:48:698	WT901BLE67(C1:AA:08:9C:D1:14)	-0.470	0.868	-0.061	0.061	0.366	0.061	94.82	31.14	-7.34	14.000	-44.750	-72.675	0.64197	0.72034	0.12704	-0.22964	-3.3	10080.1.21	100
2025-6-5 18:15:48:783	WTSDCL(FE:D5:86:66:1D:7C)	-0.236	-0.966	0.107	0.122	-0.488	4.272	-84.72	14.69	97.58	88.967	26.292	-18.158	-0.42331	0.50967	0.44427	-0.60294	7.1	10092.1.12	100
2025-6-5 18:15:48:799	WT901BLE67(E9:8A:1A:DD:D5:28)	0.512	0.844	-0.036	0.916	0.305	1.160	92.03	-30.31	-139.86	-60.875	6.750	49.242	0.40656	0.06677	-0.71259	-0.56778	-2.4	10080.1.21	100
2025-6-5 18:15:48:822	WT901BLE67(C1:AA:08:9C:D1:14)	-0.514	0.845	-0.047	0.793	-0.793	-0.427	94.85	31.12	-7.29	14.000	-44.750	-72.675	0.64197	0.72034	0.12704	-0.22964	-3.3	10080.1.21	100
